['draw_foe.py', '5.avi', 'online']
['second', 'image', 'is', './pgm_sample/5.avi/00000085.pgm', '86\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000086.pgm', '87\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000087.pgm', '88\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000088.pgm', '89\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000089.pgm', '90\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000090.pgm', '91\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000091.pgm', '92\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000092.pgm', '93\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000093.pgm', '94\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000094.pgm', '95\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000095.pgm', '96\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000096.pgm', '97\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000097.pgm', '98\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000098.pgm', '99\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000099.pgm', '100\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000100.pgm', '101\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000101.pgm', '102\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000102.pgm', '103\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000103.pgm', '104\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000104.pgm', '105\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000105.pgm', '106\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000106.pgm', '107\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000107.pgm', '108\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000108.pgm', '109\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000109.pgm', '110\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000110.pgm', '111\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000111.pgm', '112\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000112.pgm', '113\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000113.pgm', '114\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000114.pgm', '115\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000115.pgm', '116\n']
